,latitude,longitude,amt,bea,block_fips,block_pop_2015,bta,cma,county_fips,county_name,eag,ivm,latitude,longitude,mea,mta,pea,rea,rpc,state_code,state_fips,state_name,vpc
74,33.2,-117.1,AMT006,BEA161,060730201033062,0.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.2,-117.1,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
75,33.2,-117.0,AMT006,BEA161,060730191063017,260.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.2,-117.0,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
76,33.2,-116.9,AMT006,BEA161,060730191071001,17.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.2,-116.9,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
77,33.2,-116.7,AMT006,BEA161,060730209033114,74.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.2,-116.7,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
78,33.2,-116.4,AMT006,BEA161,060730210003080,0.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.2,-116.4,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
79,33.2,-116.0,AMT006,BEA160,060250123011241,7.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,33.2,-116.0,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
80,33.2,-115.6,AMT006,BEA160,060250101021013,3.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,33.2,-115.6,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
81,33.2,-115.5,AMT006,BEA160,060250101011143,1.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,33.2,-115.5,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
82,33.3,-118.3,AMT006,BEA160,060375991002001,0.0,BTA262,CMA002,06037,Los Angeles,EAG006,IVM002,33.3,-118.3,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
83,33.3,-117.3,AMT006,BEA161,060730187001514,41.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.3,-117.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
84,33.3,-117.2,AMT006,BEA161,060730188031019,195.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.3,-117.2,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
85,33.3,-117.1,AMT006,BEA161,060730191013156,13.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.3,-117.1,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
86,33.3,-117.0,AMT006,BEA161,060730191062032,0.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.3,-117.0,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
87,33.3,-116.7,AMT006,BEA161,060730209031108,0.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.3,-116.7,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
88,33.3,-116.3,AMT006,BEA161,060730210002001,9.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.3,-116.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
89,33.3,-116.0,AMT006,BEA160,060250123011066,31.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,33.3,-116.0,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
90,33.3,-115.9,AMT006,BEA160,060250123023001,0.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,33.3,-115.9,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
91,33.3,-115.8,AMT006,BEA160,060250123023001,0.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,33.3,-115.8,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
92,33.4,-118.5,AMT006,BEA160,060375991002045,0.0,BTA262,CMA002,06037,Los Angeles,EAG006,IVM002,33.4,-118.5,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
93,33.4,-118.3,AMT006,BEA160,060375991002001,0.0,BTA262,CMA002,06037,Los Angeles,EAG006,IVM002,33.4,-118.3,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
94,33.4,-117.7,AMT006,BEA160,060599901000034,0.0,BTA262,CMA002,06059,Orange,EAG006,IVM002,33.4,-117.7,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
95,33.4,-117.6,AMT006,BEA160,060590421034002,677.0,BTA262,CMA002,06059,Orange,EAG006,IVM002,33.4,-117.6,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
96,33.4,-117.4,AMT006,BEA161,060730187001108,16.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.4,-117.4,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
97,33.4,-117.3,AMT006,BEA161,060730187001001,0.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.4,-117.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
98,33.4,-117.2,AMT006,BEA161,060730190012039,19.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.4,-117.2,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
99,33.4,-117.1,AMT006,BEA161,060730191014027,2.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.4,-117.1,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
100,33.4,-116.3,AMT006,BEA161,060730210002001,9.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.4,-116.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
101,33.4,-116.0,AMT006,BEA160,060250123022006,0.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,33.4,-116.0,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
102,33.4,-115.9,AMT006,BEA160,060250123022000,0.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,33.4,-115.9,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
103,33.4,-115.7,AMT006,BEA160,060250124001057,0.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,33.4,-115.7,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
104,33.4,-114.7,AMT006,BEA160,040120206022162,0.0,BTA347,CMA321,04012,La Paz,EAG006,IVM321,33.4,-114.7,MEA044,MTA027,PEA157,REA006,RPC005,AZ,04,Arizona,VPC006
105,33.5,-117.8,AMT006,BEA160,060599901000027,0.0,BTA262,CMA002,06059,Orange,EAG006,IVM002,33.5,-117.8,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
106,33.5,-117.7,AMT006,BEA160,060590423323006,89.0,BTA262,CMA002,06059,Orange,EAG006,IVM002,33.5,-117.7,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
107,33.5,-117.6,AMT006,BEA160,060590320233025,3.0,BTA262,CMA002,06059,Orange,EAG006,IVM002,33.5,-117.6,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
108,33.5,-117.3,AMT006,BEA160,060650497002052,48.0,BTA262,CMA002,06065,Riverside,EAG006,IVM002,33.5,-117.3,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
109,33.5,-117.2,AMT006,BEA160,060650512002055,57.0,BTA262,CMA002,06065,Riverside,EAG006,IVM002,33.5,-117.2,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
110,33.5,-117.1,AMT006,BEA160,060650432643004,68.0,BTA262,CMA002,06065,Riverside,EAG006,IVM002,33.5,-117.1,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
111,33.5,-117.0,AMT006,BEA160,060650432391079,22.0,BTA262,CMA002,06065,Riverside,EAG006,IVM002,33.5,-117.0,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
112,33.5,-116.9,AMT006,BEA160,060650432391139,137.0,BTA262,CMA002,06065,Riverside,EAG006,IVM002,33.5,-116.9,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
113,33.5,-116.8,AMT006,BEA160,060650444021176,75.0,BTA262,CMA002,06065,Riverside,EAG006,IVM002,33.5,-116.8,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
114,33.5,-116.7,AMT006,BEA160,060650444032035,66.0,BTA262,CMA002,06065,Riverside,EAG006,IVM002,33.5,-116.7,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
115,33.5,-116.6,AMT006,BEA160,060650444033127,108.0,BTA262,CMA002,06065,Riverside,EAG006,IVM002,33.5,-116.6,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
116,33.5,-116.4,AMT006,BEA160,060650444033012,0.0,BTA262,CMA002,06065,Riverside,EAG006,IVM002,33.5,-116.4,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
117,33.5,-116.2,AMT006,BEA160,060650444033210,6.0,BTA262,CMA002,06065,Riverside,EAG006,IVM002,33.5,-116.2,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
118,33.5,-116.1,AMT006,BEA160,060650456055023,16.0,BTA262,CMA002,06065,Riverside,EAG006,IVM002,33.5,-116.1,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
119,33.5,-116.0,AMT006,BEA160,060650456043228,0.0,BTA262,CMA002,06065,Riverside,EAG006,IVM002,33.5,-116.0,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
120,33.5,-115.8,AMT006,BEA160,060650456043115,20.0,BTA262,CMA002,06065,Riverside,EAG006,IVM002,33.5,-115.8,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
121,33.5,-115.2,AMT006,BEA160,060650469001475,145.0,BTA262,CMA002,06065,Riverside,EAG006,IVM002,33.5,-115.2,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
122,33.5,-114.7,AMT006,BEA160,060650459002143,6.0,BTA262,CMA002,06065,Riverside,EAG006,IVM002,33.5,-114.7,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
123,33.5,-114.6,AMT006,BEA160,060650470001096,3.0,BTA262,CMA002,06065,Riverside,EAG006,IVM002,33.5,-114.6,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
124,33.6,-118.0,AMT006,BEA160,060599901000011,0.0,BTA262,CMA002,06059,Orange,EAG006,IVM002,33.6,-118.0,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
125,33.6,-117.9,AMT006,BEA160,060590628002034,28.0,BTA262,CMA002,06059,Orange,EAG006,IVM002,33.6,-117.9,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
126,33.6,-117.8,AMT006,BEA160,060590626042082,0.0,BTA262,CMA002,06059,Orange,EAG006,IVM002,33.6,-117.8,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
127,33.6,-117.7,AMT006,BEA160,060590423074002,49.0,BTA262,CMA002,06059,Orange,EAG006,IVM002,33.6,-117.7,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
128,33.6,-117.6,AMT006,BEA160,060590320443001,1.0,BTA262,CMA002,06059,Orange,EAG006,IVM002,33.6,-117.6,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
129,33.6,-117.5,AMT006,BEA160,060590320411059,23.0,BTA262,CMA002,06059,Orange,EAG006,IVM002,33.6,-117.5,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
130,33.6,-117.4,AMT006,BEA160,060650464011050,0.0,BTA262,CMA002,06065,Riverside,EAG006,IVM002,33.6,-117.4,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
131,33.6,-117.3,AMT006,BEA160,060650432722001,132.0,BTA262,CMA002,06065,Riverside,EAG006,IVM002,33.6,-117.3,MEA044,MTA002,PEA002,REA006,RPC005,CA,06,California,VPC006
