,Unnamed: 0,latitude,longitude,amt,bea,block_fips,block_pop_2015,bta,cma,county_fips,county_name,eag,ivm,latitude.1,longitude.1,mea,mta,pea,rea,rpc,state_code,state_fips,state_name,vpc
67,67,33.1,-116.3,AMT006,BEA161,60730210001082.0,0.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.1,-116.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
68,68,33.1,-115.7,AMT006,BEA160,60250102001010.0,0.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,33.1,-115.7,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
69,69,33.1,-115.5,AMT006,BEA160,60250101011296.0,0.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,33.1,-115.5,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
70,70,33.1,-115.0,AMT006,BEA160,60250124002286.0,0.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,33.1,-115.0,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
71,71,33.2,-117.4,AMT006,BEA161,60739901000004.0,0.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.2,-117.4,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
72,72,33.2,-117.3,AMT006,BEA161,60730185161007.0,1771.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.2,-117.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
73,73,33.2,-117.2,AMT006,BEA161,60730192082024.0,82.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.2,-117.2,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
74,74,33.2,-117.1,AMT006,BEA161,60730201033062.0,0.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.2,-117.1,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
75,75,33.2,-117.0,AMT006,BEA161,60730191063017.0,260.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.2,-117.0,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
76,76,33.2,-116.9,AMT006,BEA161,60730191071001.0,17.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.2,-116.9,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
77,77,33.2,-116.7,AMT006,BEA161,60730209033114.0,74.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.2,-116.7,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
78,78,33.2,-116.4,AMT006,BEA161,60730210003080.0,0.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.2,-116.4,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
79,79,33.2,-116.0,AMT006,BEA160,60250123011241.0,7.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,33.2,-116.0,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
80,80,33.2,-115.6,AMT006,BEA160,60250101021013.0,3.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,33.2,-115.6,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
81,81,33.2,-115.5,AMT006,BEA160,60250101011143.0,1.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,33.2,-115.5,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
82,82,33.3,-118.3,AMT006,BEA160,60375991002001.0,0.0,BTA262,CMA002,6037.0,Los Angeles,EAG006,IVM002,33.3,-118.3,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
83,83,33.3,-117.3,AMT006,BEA161,60730187001514.0,41.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.3,-117.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
